PGP1,GM23716,GM23720,GM25256,BXS0110,BXS0111,BYS0112,BXS0114,BXS0115,BXS0116,BXS0117,902,1601,1401,1001,901
18.097458,20.32770167,19.808802,16.40253833,23.054646,19.99539967,20.743589,19.43061733,17.47159833,20.70066,19.56377588,20.38927267,17.74682167,25.67671867,24.83937267,21.35673667
5.364558,3.96001,3.737346333,2.773540667,3.266552,1.986669667,3.910627,3.846553333,2.394036333,2.503236,3.17336556,3.530984,3.184154333,4.108919333,4.663935,4.298254
4.767023,4.816503667,5.731627333,4.78359,4.383227,4.814938333,5.479828333,4.985079,4.059736333,4.866439,4.89938352,4.070732333,4.482444667,4.488074667,3.760141,3.534156667
2.466872667,2.499374667,3.226417333,2.399250667,2.901558,2.903369667,3.780533667,3.155741,2.180402333,1.500666,2.73282548,1.547340333,1.482464333,2.694011667,3.947385,4.406006333
5.595683,6.065425667,8.857678333,6.725376333,13.346528,11.254146,9.719659,8.713483,9.098776667,8.347731333,9.302633,5.907006,5.360474667,7.477553667,10.78926067,11.09929767
0,0,428.793544,0,0,0,0,0,0,0,51.45522528,0,0,0,0,0
3.430847,3.724731,3.347585333,2.068131667,2.498409333,2.125597,2.717395667,3.207692,1.848774,1.569618333,2.48818892,3.399867,2.229487667,3.865066667,3.303512,2.889952
5.605793667,5.135878333,4.734117333,3.249393333,2.016720667,2.923474667,3.575859333,4.175492333,2.911811,2.573571667,3.36907684,2.793943667,4.354909,3.921589,3.197098333,4.012380333
3.597654667,3.320540333,5.029111,3.329125667,3.761388333,4.020513333,5.891705,4.026000333,1.900432,3.198821333,3.919133,3.320465667,2.952202667,4.438797333,6.768592333,8.413517
4.820295333,2.094288667,3.564157,2.215331667,3.660840333,4.021620667,4.762417333,6.305083667,5.972277,3.246586,4.16881168,0.969588667,2.558474667,6.070118,3.907839333,4.095065667
7.834412667,8.060609,10.021948,11.14825967,17.00746433,12.73887233,14.447015,10.81781,7.65022,10.09226633,11.59377324,10.07919833,10.53958933,12.42528867,16.107619,15.336206
21.437072,19.56248933,16.766921,18.036489,16.212307,15.292692,20.93606667,19.026513,12.13878533,13.34645167,16.638494,20.85330367,18.28064633,22.10725933,23.459971,20.52000867
2.929034,3.445278,3.209021667,2.509075667,4.008538667,4.266389,3.136120333,2.296168,2.805717,3.353608667,3.19886172,2.446401,3.546711,2.637170667,2.038641,1.462425667
6.983553,6.235417,5.059607,5.109520667,4.430345,3.759663,5.230136,5.764425667,3.976724667,4.329936667,4.85055032,5.122436,4.847762333,6.019986,5.727709667,5.000672333
4.446297,4.296568667,8.695221,3.563412667,3.838882,3.448228333,5.177241667,4.465412667,1.991663333,1.623664333,4.013789,2.253376333,1.575351333,4.465823667,5.484154,6.596852
4.699623333,3.610098333,4.901439333,4.694388667,5.899002333,3.779909333,7.134634333,7.720375333,5.380127333,5.544658333,5.82756812,4.648007333,3.667447667,7.858938333,11.90979267,10.733294
58.69935667,36.74634767,40.978251,50.21182367,64.00587067,48.09395167,55.89191233,45.67279633,43.17567333,46.736048,48.99411752,46.49832867,51.65734667,64.262644,65.35588167,62.39687467
9.570095333,8.277079667,7.728011333,7.937759,6.902034333,6.231800333,8.078375,10.18192233,7.397965,6.794781667,7.77861332,8.0984,8.268478,8.097080333,7.280264667,6.911666
43.77163167,42.739929,48.108355,43.68608333,85.059571,72.65114,60.34395167,57.68381467,66.97522733,65.167068,61.66708656,48.76624367,49.442426,57.1117,70.12393033,72.348354
4.967384,4.812591,5.270907667,5.300828667,7.170647333,6.341008667,6.743490667,5.658403667,5.283871667,6.286478667,5.93433116,5.115577,5.491635667,6.446959,5.367063333,5.090894
2.603151333,1.810728333,1.585139333,1.870141667,1.815416333,1.708095333,2.591463667,0.961339333,1.304748,1.412124667,1.6442668,4.093572333,3.214293,3.053191,2.588887,3.141489667
15.61505167,16.79774667,15.46931533,15.05798333,21.09659533,12.75350467,17.98689067,14.765193,13.91699633,18.16937533,16.16746992,16.555906,18.18724133,18.13102867,18.72632933,16.56015167
