"","x"
"331",0.945918578110691
"332",1
"333",0.581883238696641
"334",0.911830163418047
"335",0.741198836586317
"336",0.771037211338002
"337",1
"338",1
"339",0.373307853270258
"340",0.709499006329291
"341",0.0667432160032849
"342",0.593031800800516
"343",1
"344",0.520744370602984
"345",0.415836959550121
"346",0.129948147918787
"347",1
"348",0.938775740820965
"349",0.844307807576364
"350",0.831571919078242
"351",0.827907175816025
"352",0.523667068440466
"353",0.760284267385405
"354",0.512643615880217
"355",0.875630545591922
"356",0.748570211528429
"357",0.845337875647957
"358",0.854732589288356
"359",0.997494554428849
"360",0.895591500817907
"361",0.894038661947079
"362",0.769039617160997
"363",0.715962067031115
"364",0.456299316570521
"365",0.809787669428584
"366",1
"367",1
"368",1
"369",0.45485462260013
"370",0.914148084608334
"371",0.965338504355788
"372",0.722927975613347
"373",0.00485004906810825
"374",0.703684958892296
"375",0.721332473005334
"376",0.875630545591922
"377",0.456299316570521
"378",1
"379",0.269096268799785
"380",0.840669479016107
"381",0.754798237724274
"382",0.967733800230668
"383",1
"384",0.559645667808785
"385",0.746958486460697
"386",1
"387",0.726047587728083
"388",0.895325557960606
"389",1
"390",0.989508112849855
"391",0.652197746302417
"392",0.9441214003214
"393",0.896068737462024
"394",0.763026129228867
"395",0.54323999797274
"396",0.940874223845784
"397",0.767306900100926
"398",0.453541672608433
"399",0.789029529592706
"400",0.323765909654163
"401",1
"402",0.784656310021781
"403",0.779311960248205
"404",0.610370267352039
"405",0.967733800230668
"406",0.789029529592706
"407",0.874664897767676
"408",0.672581924508297
"409",0.660103906421937
"410",1
"411",0.940619386753806
"412",0.992583281837438
"413",0.911576166270972
"414",1
"415",1
"416",3.06551496507171e-05
"417",0.995357510380613
"418",0.572277587556739
"419",0.827447901307138
"420",0.978774097704291
"421",0.896609833261249
"422",4.59591223207905e-05
"423",0.887087749228806
"424",1
"425",0.875313748554329
"426",0.209610429638974
"427",3.49501064363132e-12
"428",0.678964110463793
"429",1
"430",1
"431",1
"432",0.154670759404375
"433",1
"434",1
"435",0.619575251115701
"436",0.807665936735968
"437",1
"438",0.663796421060851
"439",0.842008797324482
"440",0.883094697709757
"441",0.880319884586888
"442",0.663796421060851
"443",0.95464744059288
"444",0.92874307742886
"445",0.473963896982891
"446",0.314630205901131
"447",0.274996971165597
"448",0.680468682019647
"449",0.783967177514401
"450",0.786500917982029
"451",0.212087552975751
"452",0.801543733572045
"453",0.780963952931647
"454",0.522979659082207
"455",0.793308527142291
"456",0.575856779305301
"457",1
"458",0.874305129604019
"459",0.763685500623921
"460",0.484728543519325
"461",1
"462",0.802500002618878
"463",1
"464",0.89216315998721
"465",0.678059118172797
"466",0.989689745851654
"467",0.464989841012391
"468",0.798378573026375
"469",0.914503249756318
"470",0.983533092799904
"471",1
"472",1
"473",0.42182336613901
"474",0.578496547805167
"475",0.701115676819215
"476",0.549675482620905
"477",0.968558189062822
"478",0.445568252017701
"479",0.70896489102333
"480",0.856559108082823
"481",1
"482",0.940619386753806
"483",0.414189508428889
"484",0.956384957781168
"485",0.9246595289312
"486",0.342470781400315
"487",0.965119353076792
"488",0.793397503281114
"489",0.575884513629078
"490",1
"491",1
"492",1
"493",0.922394422242154
"494",0.3230529157967
"495",1
"496",0.893610549671643
"497",0.911576166270972
"498",1
"499",0.0142981234329727
"500",0.588027068012229
"501",8.12443166061346e-05
"502",0.75986295159465
"503",0.950810552452461
"504",0.723624581698317
"505",0.967733800230668
"506",0.599329323284876
"507",0.583965137158964
"508",1
"509",0.969443889338031
"510",0.837601524566078
"511",0.51814640377876
"512",0.817474695061414
"513",1
"514",1
"515",0.995357510380613
"516",0.896637650815718
"517",0.628608744807799
"518",0.889699145004112
"519",0.752117455787512
"520",0.89156331550631
"521",1
"522",1
"523",0.822338498869809
"524",0.785865889176301
"525",0.784888608433258
"526",1
"527",0.875630545591922
"528",0.857497631232975
"529",1
"530",0.447000870149144
"531",0.794252992807171
"532",0.824925732260993
"533",0.871475575217951
"534",0.686453473252823
"535",0.533593154417979
"536",1
"537",0.871751642362547
"538",0.821289323858051
"539",0.229626262297424
"540",0.528750504899929
"541",0.464269643746632
"542",0.489735501853539
"543",0.851133290974684
"544",1
"545",0.732199843682377
"546",0.983112560683393
"547",0.442619787103386
"548",0.970036517812444
"549",0.790544971544143
"550",0.677105952736177
"551",1
"552",0.924751133996784
"553",1
"554",1
"555",0.456926622856089
"556",0.747858780879278
"557",0.560013172063752
"558",0.730357478008764
"559",0.94592709934132
"560",0.63744136376887
"561",0.839931964746176
"562",1
"563",0.844722222945994
"564",0.957134319826157
"565",0.60017605517294
"566",0.139790603680387
"567",0.938777787320617
"568",1
"569",1
"570",0.686591274498466
"571",1
"572",1
"573",0.746073306972692
"574",0.566698984000449
"575",0.682306226194973
